target_pair,attribute_pair,PES,p_value
"European+France+Germany+Italy+Switzerland, African+Nigeria+Kenya","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-0.2690016450542956,0.9999999999988426
"European+France+Germany+Italy+Switzerland, African+Nigeria+Kenya","Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.27275685316014325,7.081197439613866e-25
"European+France+Germany+Italy+Switzerland, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment",-0.6832016523820978,1.0
"European+France+Germany+Italy+Switzerland, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-1.138963876862424,1.0
"European+France+Germany+Italy+Switzerland, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.7640664640607281,1.0
"European+France+Germany+Italy+Switzerland, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-0.9748134370213485,1.0
"European+France+Germany+Italy+Switzerland, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-1.0660131736072602,1.0
"European+France+Germany+Italy+Switzerland, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.17434355270100804,0.9926601269417296
"European+France+Germany+Italy+Switzerland, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-0.2998081984357401,0.9999999999929945
"European+France+Germany+Italy+Switzerland, Indian+India","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",0.9978143289408531,0.0
"European+France+Germany+Italy+Switzerland, Indian+India","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",1.2033593673001175,0.0
"European+France+Germany+Italy+Switzerland, Indian+India","Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-0.18776981742714657,0.9994633493622116
"African+Nigeria+Kenya, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment",-0.9139325336028857,1.0
"African+Nigeria+Kenya, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-1.7514516537072875,1.0
"African+Nigeria+Kenya, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.8484546726959514,1.0
"African+Nigeria+Kenya, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-1.6250336233839822,1.0
"African+Nigeria+Kenya, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-1.5434813178214617,1.0
"African+Nigeria+Kenya, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.2754167596071242,0.9978227963365363
"African+Nigeria+Kenya, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-0.6553042233835952,1.0
"African+Nigeria+Kenya, Indian+India","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",1.419086773934611,0.0
"African+Nigeria+Kenya, Indian+India","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",1.7324212619144554,0.0
"African+Nigeria+Kenya, Indian+India","Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-0.3882350430823521,0.9999999999998769
MEAN_ALL,MEAN_ALL,-0.166360578761145,0.6019881029624168
